packing_details_id,warehouse_id,is_active,created_at,updated_at
1,WH01,True,2024-01-01 00:00:00,2024-01-01 00:00:00
1,WH02,True,2024-01-01 00:00:00,2024-01-01 00:00:00
1,WH03,True,2024-01-01 00:00:00,2024-01-01 00:00:00
1,WH04,True,2024-01-01 00:00:00,2024-01-01 00:00:00
1,WH05,True,2024-01-01 00:00:00,2024-01-01 00:00:00
1,WH06,True,2024-01-01 00:00:00,2024-01-01 00:00:00
2,WH01,True,2024-01-01 00:00:00,2024-01-01 00:00:00
2,WH02,True,2024-01-01 00:00:00,2024-01-01 00:00:00
2,WH03,True,2024-01-01 00:00:00,2024-01-01 00:00:00
2,WH04,True,2024-01-01 00:00:00,2024-01-01 00:00:00
2,WH05,True,2024-01-01 00:00:00,2024-01-01 00:00:00
2,WH06,True,2024-01-01 00:00:00,2024-01-01 00:00:00
3,WH01,True,2024-01-01 00:00:00,2024-01-01 00:00:00
3,WH02,True,2024-01-01 00:00:00,2024-01-01 00:00:00
3,WH03,True,2024-01-01 00:00:00,2024-01-01 00:00:00
3,WH04,True,2024-01-01 00:00:00,2024-01-01 00:00:00
3,WH05,True,2024-01-01 00:00:00,2024-01-01 00:00:00
3,WH06,True,2024-01-01 00:00:00,2024-01-01 00:00:00
4,WH01,True,2024-01-01 00:00:00,2024-01-01 00:00:00
4,WH02,True,2024-01-01 00:00:00,2024-01-01 00:00:00
4,WH03,True,2024-01-01 00:00:00,2024-01-01 00:00:00
4,WH04,True,2024-01-01 00:00:00,2024-01-01 00:00:00
4,WH05,True,2024-01-01 00:00:00,2024-01-01 00:00:00
4,WH06,True,2024-01-01 00:00:00,2024-01-01 00:00:00
5,WH01,True,2024-01-01 00:00:00,2024-01-01 00:00:00
5,WH02,True,2024-01-01 00:00:00,2024-01-01 00:00:00
5,WH03,True,2024-01-01 00:00:00,2024-01-01 00:00:00
5,WH04,True,2024-01-01 00:00:00,2024-01-01 00:00:00
5,WH05,True,2024-01-01 00:00:00,2024-01-01 00:00:00
5,WH06,True,2024-01-01 00:00:00,2024-01-01 00:00:00
6,WH01,True,2024-01-01 00:00:00,2024-01-01 00:00:00
6,WH02,True,2024-01-01 00:00:00,2024-01-01 00:00:00
6,WH03,True,2024-01-01 00:00:00,2024-01-01 00:00:00
6,WH04,True,2024-01-01 00:00:00,2024-01-01 00:00:00
6,WH05,True,2024-01-01 00:00:00,2024-01-01 00:00:00
6,WH06,True,2024-01-01 00:00:00,2024-01-01 00:00:00
7,WH01,True,2024-01-01 00:00:00,2024-01-01 00:00:00
7,WH02,True,2024-01-01 00:00:00,2024-01-01 00:00:00
7,WH03,True,2024-01-01 00:00:00,2024-01-01 00:00:00
7,WH04,True,2024-01-01 00:00:00,2024-01-01 00:00:00
7,WH05,True,2024-01-01 00:00:00,2024-01-01 00:00:00
7,WH06,True,2024-01-01 00:00:00,2024-01-01 00:00:00
8,WH01,True,2024-01-01 00:00:00,2024-01-01 00:00:00
8,WH02,True,2024-01-01 00:00:00,2024-01-01 00:00:00
8,WH03,True,2024-01-01 00:00:00,2024-01-01 00:00:00
8,WH04,True,2024-01-01 00:00:00,2024-01-01 00:00:00
8,WH05,True,2024-01-01 00:00:00,2024-01-01 00:00:00
8,WH06,True,2024-01-01 00:00:00,2024-01-01 00:00:00
9,WH01,True,2024-01-01 00:00:00,2024-01-01 00:00:00
9,WH02,True,2024-01-01 00:00:00,2024-01-01 00:00:00
9,WH03,True,2024-01-01 00:00:00,2024-01-01 00:00:00
9,WH04,True,2024-01-01 00:00:00,2024-01-01 00:00:00
9,WH05,True,2024-01-01 00:00:00,2024-01-01 00:00:00
9,WH06,True,2024-01-01 00:00:00,2024-01-01 00:00:00
10,WH01,True,2024-01-01 00:00:00,2024-01-01 00:00:00
10,WH02,True,2024-01-01 00:00:00,2024-01-01 00:00:00
10,WH03,True,2024-01-01 00:00:00,2024-01-01 00:00:00
10,WH04,True,2024-01-01 00:00:00,2024-01-01 00:00:00
10,WH05,True,2024-01-01 00:00:00,2024-01-01 00:00:00
10,WH06,True,2024-01-01 00:00:00,2024-01-01 00:00:00
11,WH01,True,2024-01-01 00:00:00,2024-01-01 00:00:00
11,WH02,True,2024-01-01 00:00:00,2024-01-01 00:00:00
11,WH03,True,2024-01-01 00:00:00,2024-01-01 00:00:00
11,WH04,True,2024-01-01 00:00:00,2024-01-01 00:00:00
11,WH05,True,2024-01-01 00:00:00,2024-01-01 00:00:00
11,WH06,True,2024-01-01 00:00:00,2024-01-01 00:00:00
12,WH01,True,2024-01-01 00:00:00,2024-01-01 00:00:00
12,WH02,True,2024-01-01 00:00:00,2024-01-01 00:00:00
12,WH03,True,2024-01-01 00:00:00,2024-01-01 00:00:00
12,WH04,True,2024-01-01 00:00:00,2024-01-01 00:00:00
12,WH05,True,2024-01-01 00:00:00,2024-01-01 00:00:00
12,WH06,True,2024-01-01 00:00:00,2024-01-01 00:00:00
13,WH01,True,2024-01-01 00:00:00,2024-01-01 00:00:00
13,WH02,True,2024-01-01 00:00:00,2024-01-01 00:00:00
13,WH03,True,2024-01-01 00:00:00,2024-01-01 00:00:00
13,WH04,True,2024-01-01 00:00:00,2024-01-01 00:00:00
13,WH05,True,2024-01-01 00:00:00,2024-01-01 00:00:00
13,WH06,True,2024-01-01 00:00:00,2024-01-01 00:00:00
14,WH01,True,2024-01-01 00:00:00,2024-01-01 00:00:00
14,WH02,True,2024-01-01 00:00:00,2024-01-01 00:00:00
14,WH03,True,2024-01-01 00:00:00,2024-01-01 00:00:00
14,WH04,True,2024-01-01 00:00:00,2024-01-01 00:00:00
14,WH05,True,2024-01-01 00:00:00,2024-01-01 00:00:00
14,WH06,True,2024-01-01 00:00:00,2024-01-01 00:00:00
15,WH01,True,2024-01-01 00:00:00,2024-01-01 00:00:00
15,WH02,True,2024-01-01 00:00:00,2024-01-01 00:00:00
15,WH03,True,2024-01-01 00:00:00,2024-01-01 00:00:00
15,WH04,True,2024-01-01 00:00:00,2024-01-01 00:00:00
15,WH05,True,2024-01-01 00:00:00,2024-01-01 00:00:00
15,WH06,True,2024-01-01 00:00:00,2024-01-01 00:00:00
16,WH01,True,2024-01-01 00:00:00,2024-01-01 00:00:00
